
mysql> select * from phrase_attempts;
+------+-----------+---------------------+------------------+
| id   | phrase_id | created_on          | correct          |
|  253 |        16 | 2025-02-14 20:27:39 | 0x01             |
|  254 |        13 | 2025-02-14 20:27:50 | 0x01             |
|  255 |       339 | 2025-02-14 20:28:23 | 0x00             |
|  256 |        19 | 2025-02-14 20:28:28 | 0x01             |
|  257 |         6 | 2025-02-14 20:28:32 | 0x01             |
|  258 |       408 | 2025-02-14 20:28:37 | 0x01             |
|  259 |        28 | 2025-02-14 20:28:41 | 0x01             |
|  260 |        21 | 2025-02-14 20:28:56 | 0x00             |
|  261 |         9 | 2025-02-14 20:29:04 | 0x01             |
|  262 |       231 | 2025-02-14 20:29:30 | 0x00             |
|  263 |         7 | 2025-02-14 20:29:33 | 0x01             |
|  264 |        21 | 2025-02-14 20:29:38 | 0x00             |
|  265 |         3 | 2025-02-14 20:29:40 | 0x00             |
|  266 |       430 | 2025-02-14 20:30:13 | 0x00             |
|  267 |        38 | 2025-02-14 20:30:25 | 0x00             |
|  268 |       408 | 2025-02-14 22:06:31 | 0x01             |
|  269 |        27 | 2025-02-14 22:06:39 | 0x00             |
|  270 |        21 | 2025-02-14 22:06:55 | 0x00             |
|  271 |       231 | 2025-02-14 22:07:26 | 0x00             |
|  272 |        11 | 2025-02-14 22:07:43 | 0x01             |
|  273 |        18 | 2025-02-14 22:15:10 | 0x01             |
|  274 |       121 | 2025-02-14 22:15:19 | 0x01             |
|  275 |       408 | 2025-02-14 22:15:23 | 0x01             |
|  276 |        14 | 2025-02-14 22:15:27 | 0x01             |
|  277 |        21 | 2025-02-14 22:15:42 | 0x00             |
|  278 |        15 | 2025-02-14 22:15:46 | 0x01             |
|  279 |       121 | 2025-02-14 22:15:52 | 0x01             |
|  280 |       274 | 2025-02-14 22:16:05 | 0x00             |
|  281 |        15 | 2025-02-14 22:16:08 | 0x01             |
|  282 |         6 | 2025-02-14 22:16:10 | 0x01             |
|  283 |        21 | 2025-02-14 22:16:27 | 0x00             |
|  284 |        28 | 2025-02-14 22:16:35 | 0x01             |
|  285 |        14 | 2025-02-14 22:16:42 | 0x01             |
